Fecha publicación,cod_ine,CCAA,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas Janssen,Dosis entregadas totales,Dosis administradas,Porcentaje de dosis administradas por 100 habitantes,Porcentaje sobre entregadas,Personas con al menos una dosis,Personas con pauta completa,Porcentaje con pauta completa,Fecha de la última vacuna registrada
2021-02-16,01,Andalucía,475.110,36.300,34.500,,545.910,468.983,"5,53","85,9",,194.477,"2,29",15/02/2021
2021-02-16,02,Aragón,81.045,6.300,5.400,,92.745,93.512,"7,02","100,8",,37.628,"2,83",15/02/2021
2021-02-16,03,Asturias,83.975,6.300,4.200,,94.475,81.941,"8,07","86,7",,34.140,"3,36",15/02/2021
2021-02-16,04,Baleares,42.480,3.200,4.800,,50.480,44.573,"3,67","88,3",,19.025,"1,57",15/02/2021
2021-02-16,05,Canarias,93.570,7.000,8.900,,109.470,106.747,"4,76","97,5",,44.120,"1,97",15/02/2021
2021-02-16,06,Cantabria,39.345,2.900,2.400,,44.645,43.214,"7,42","96,8",,19.000,"3,26",15/02/2021
2021-02-16,07,Castilla y Leon,177.555,13.500,9.800,,200.855,190.381,"7,96","94,8",,80.091,"3,35",15/02/2021
2021-02-16,08,Castilla La Mancha,120.375,9.200,8.300,,137.875,129.772,"6,35","94,1",,52.826,"2,59",15/02/2021
2021-02-16,09,Cataluña,410.120,31.400,31.800,,473.320,416.165,"5,44","87,9",,166.104,"2,17",15/02/2021
2021-02-16,10,C. Valenciana,207.280,15.700,20.600,,243.580,224.560,"4,46","92,2",,95.559,"1,90",15/02/2021
2021-02-16,11,Extremadura,74.375,5.400,4.300,,84.075,80.044,"7,56","95,2",,32.353,"3,05",15/02/2021
2021-02-16,12,Galicia,128.815,9.800,11.000,,149.615,137.656,"5,10","92,0",,57.383,"2,13",15/02/2021
2021-02-16,17,La Rioja,19.955,1.400,1.300,,22.655,21.676,"6,86","95,7",,8.523,"2,70",15/02/2021
2021-02-16,13,Madrid,333.375,25.400,27.700,,386.475,346.408,"5,13","89,6",,156.682,"2,32",15/02/2021
2021-02-16,14,Murcia,87.305,6.600,6.200,,100.105,92.527,"6,13","92,4",,38.970,"2,58",15/02/2021
2021-02-16,15,Navarra,39.345,2.900,2.700,,44.945,41.235,"6,27","91,7",,16.062,"2,44",15/02/2021
2021-02-16,16,País Vasco,107.460,7.900,9.100,,124.460,98.289,"4,49","79,0",,41.758,"1,91",14/02/2021
2021-02-16,18,Ceuta,4.320,400,400,,5.120,3.759,"4,48","73,4",,969,"1,15",15/02/2021
2021-02-16,19,Melilla,3.150,400,400,,3.950,3.070,"3,64","77,7",,1.252,"1,49",15/02/2021
2021-02-16,00,España,2.528.955,192.000,193.800,,2.914.755,2.624.512,"5,54","90,0",,1.096.922,"2,32",
2021-02-17,01,Andalucía,568.710,36.300,74.500,,679.510,485.673,"5,73","71,5",,198.314,"2,34",15/02/2021
2021-02-17,02,Aragón,96.255,6.300,11.700,,114.255,96.987,"7,29","84,9",,39.674,"2,98",16/02/2021
2021-02-17,03,Asturias,98.015,6.300,9.000,,113.315,83.128,"8,19","73,4",,34.568,"3,40",16/02/2021
2021-02-17,04,Baleares,49.500,3.200,10.300,,63.000,45.348,"3,73","72,0",,19.361,"1,59",16/02/2021
2021-02-17,05,Canarias,111.120,7.000,19.200,,137.320,109.051,"4,86","79,4",,45.239,"2,02",16/02/2021
2021-02-17,06,Cantabria,47.535,2.900,5.100,,55.535,43.913,"7,54","79,1",,19.062,"3,27",16/02/2021
2021-02-17,07,Castilla y Leon,211.485,13.500,21.100,,246.085,196.196,"8,20","79,7",,81.422,"3,40",16/02/2021
2021-02-17,08,Castilla La Mancha,143.775,9.200,18.000,,170.975,132.722,"6,50","77,6",,55.447,"2,71",16/02/2021
2021-02-17,09,Cataluña,489.680,31.400,68.600,,589.680,427.525,"5,58","72,5",,168.254,"2,20",16/02/2021
2021-02-17,10,C. Valenciana,247.060,15.700,44.500,,307.260,228.180,"4,53","74,3",,96.040,"1,91",16/02/2021
2021-02-17,11,Extremadura,88.415,5.400,9.300,,103.115,82.086,"7,75","79,6",,33.415,"3,15",16/02/2021
2021-02-17,12,Galicia,153.385,9.800,23.800,,186.985,138.601,"5,14","74,1",,57.397,"2,13",16/02/2021
2021-02-17,17,La Rioja,23.465,1.400,2.800,,27.665,22.032,"6,97","79,6",,8.529,"2,70",16/02/2021
2021-02-17,13,Madrid,398.895,25.400,59.800,,484.095,354.258,"5,24","73,2",,160.202,"2,37",16/02/2021
2021-02-17,14,Murcia,103.685,6.600,13.300,,123.585,93.705,"6,21","75,8",,39.879,"2,64",16/02/2021
2021-02-17,15,Navarra,46.365,2.900,5.800,,55.065,42.492,"6,47","77,2",,16.873,"2,57",16/02/2021
2021-02-17,16,País Vasco,127.350,7.900,19.600,,154.850,101.147,"4,62","65,3",,43.281,"1,98",16/02/2021
2021-02-17,18,Ceuta,4.320,400,800,,5.520,4.111,"4,89","74,5",,969,"1,15",16/02/2021
2021-02-17,19,Melilla,3.150,400,800,,4.350,3.302,"3,92","75,9",,1.254,"1,49",16/02/2021
2021-02-17,00,España,3.012.165,192.000,418.000,,3.622.165,2.690.457,"5,68","74,3",,1.119.180,"2,36",
2021-02-18,01,Andalucía,568.710,36.300,74.500,,679.510,506.973,"5,98","74,6",,202.631,"2,39",17/02/2021
2021-02-18,02,Aragón,96.255,6.300,11.700,,114.255,101.956,"7,66","89,2",,40.945,"3,08",17/02/2021
2021-02-18,03,Asturias,98.015,6.300,9.000,,113.315,85.458,"8,42","75,4",,35.251,"3,47",16/02/2021
2021-02-18,04,Baleares,49.500,3.200,10.300,,63.000,46.824,"3,85","74,3",,19.906,"1,64",17/02/2021
2021-02-18,05,Canarias,111.120,7.000,19.200,,137.320,111.897,"4,99","81,5",,46.799,"2,09",17/02/2021
2021-02-18,06,Cantabria,47.535,2.900,5.100,,55.535,44.700,"7,68","80,5",,19.118,"3,28",17/02/2021
2021-02-18,07,Castilla y Leon,211.485,13.500,21.100,,246.085,202.462,"8,47","82,3",,83.192,"3,48",17/02/2021
2021-02-18,08,Castilla La Mancha,143.775,9.200,18.000,,170.975,137.438,"6,73","80,4",,58.335,"2,86",17/02/2021
2021-02-18,09,Cataluña,489.680,31.400,68.600,,589.680,443.181,"5,79","75,2",,170.429,"2,23",17/02/2021
2021-02-18,10,C. Valenciana,247.060,15.700,44.500,,307.260,233.828,"4,64","76,1",,96.724,"1,92",17/02/2021
2021-02-18,11,Extremadura,88.415,5.400,9.300,,103.115,85.553,"8,08","83,0",,35.477,"3,35",17/02/2021
2021-02-18,12,Galicia,153.385,9.800,23.800,,186.985,142.844,"5,29","76,4",,57.531,"2,13",17/02/2021
2021-02-18,17,La Rioja,23.465,1.400,2.800,,27.665,22.749,"7,20","82,2",,8.812,"2,79",17/02/2021
2021-02-18,13,Madrid,398.895,25.400,59.800,,484.095,364.384,"5,39","75,3",,163.768,"2,42",17/02/2021
2021-02-18,14,Murcia,103.685,6.600,13.300,,123.585,96.682,"6,41","78,2",,42.022,"2,78",17/02/2021
2021-02-18,15,Navarra,46.365,2.900,5.800,,55.065,43.893,"6,68","79,7",,17.700,"2,69",17/02/2021
2021-02-18,16,País Vasco,127.350,7.900,19.600,,154.850,104.091,"4,75","67,2",,43.642,"1,99",17/02/2021
2021-02-18,18,Ceuta,4.320,400,800,,5.520,4.434,"5,28","80,3",,1.019,"1,21",17/02/2021
2021-02-18,19,Melilla,3.150,400,800,,4.350,3.404,"4,04","78,3",,1.255,"1,49",17/02/2021
2021-02-18,00,España,3.012.165,192.000,418.000,,3.622.165,2.782.751,"5,88","76,8",,1.144.556,"2,42",
2021-02-19,01,Andalucía,568.710,36.300,74.500,,679.510,561.803,"6,62","82,7",,208.721,"2,46",18/02/2021
2021-02-19,02,Aragón,96.255,6.300,11.700,,114.255,106.629,"8,01","93,3",,42.429,"3,19",18/02/2021
2021-02-19,03,Asturias,98.015,6.300,9.000,,113.315,90.123,"8,88","79,5",,36.392,"3,58",18/02/2021
2021-02-19,04,Baleares,49.500,3.200,10.300,,63.000,50.921,"4,19","80,8",,20.499,"1,69",18/02/2021
2021-02-19,05,Canarias,111.120,7.000,19.200,,137.320,115.542,"5,15","84,1",,48.759,"2,17",18/02/2021
2021-02-19,06,Cantabria,47.535,2.900,5.100,,55.535,45.835,"7,87","82,5",,19.376,"3,33",18/02/2021
2021-02-19,07,Castilla y Leon,211.485,13.500,21.100,,246.085,208.907,"8,74","84,9",,84.052,"3,51",18/02/2021
2021-02-19,08,Castilla La Mancha,143.775,9.200,18.000,,170.975,140.140,"6,86","82,0",,59.845,"2,93",18/02/2021
2021-02-19,09,Cataluña,489.680,31.400,68.600,,589.680,465.569,"6,08","79,0",,176.286,"2,30",18/02/2021
2021-02-19,10,C. Valenciana,247.060,15.700,44.500,,307.260,254.502,"5,05","82,8",,97.384,"1,93",18/02/2021
2021-02-19,11,Extremadura,88.415,5.400,9.300,,103.115,89.067,"8,41","86,4",,36.485,"3,44",18/02/2021
2021-02-19,12,Galicia,153.385,9.800,23.800,,186.985,149.893,"5,55","80,2",,57.611,"2,13",18/02/2021
2021-02-19,17,La Rioja,23.465,1.400,2.800,,27.665,23.349,"7,39","84,4",,8.848,"2,80",18/02/2021
2021-02-19,13,Madrid,398.895,25.400,59.800,,484.095,372.775,"5,52","77,0",,166.475,"2,46",18/02/2021
2021-02-19,14,Murcia,103.685,6.600,13.300,,123.585,99.781,"6,61","80,7",,43.159,"2,86",18/02/2021
2021-02-19,15,Navarra,46.365,2.900,5.800,,55.065,45.364,"6,90","82,4",,18.445,"2,81",18/02/2021
2021-02-19,16,País Vasco,127.350,7.900,19.600,,154.850,107.391,"4,90","69,4",,43.919,"2,01",18/02/2021
2021-02-19,18,Ceuta,4.320,400,800,,5.520,4.695,"5,59","85,1",,1.086,"1,29",18/02/2021
2021-02-19,19,Melilla,3.150,400,800,,4.350,3.725,"4,42","85,6",,1.255,"1,49",18/02/2021
2021-02-19,00,España,3.012.165,192.000,418.000,,3.622.165,2.936.011,"6,20","81,1",,1.171.026,"2,47",
2021-02-22,01,Andalucía,568.710,36.300,74.500,,679.510,607.552,"7,16","89,4",,215.070,"2,54",21/02/2021
2021-02-22,02,Aragón,96.255,6.300,11.700,,114.255,109.318,"8,21","95,7",,42.860,"3,22",20/02/2021
2021-02-22,03,Asturias,98.015,6.300,9.000,,113.315,96.325,"9,49","85,0",,37.645,"3,71",21/02/2021
2021-02-22,04,Baleares,49.500,3.200,10.300,,63.000,52.721,"4,34","83,7",,20.549,"1,69",21/02/2021
2021-02-22,05,Canarias,111.120,7.000,19.200,,137.320,119.426,"5,32","87,0",,49.752,"2,22",21/02/2021
2021-02-22,06,Cantabria,47.535,2.900,5.100,,55.535,48.023,"8,25","86,5",,19.810,"3,40",20/02/2021
2021-02-22,07,Castilla y Leon,211.485,13.500,21.100,,246.085,218.252,"9,13","88,7",,85.608,"3,58",21/02/2021
2021-02-22,08,Castilla La Mancha,143.775,9.200,18.000,,170.975,143.344,"7,02","83,8",,61.612,"3,02",21/02/2021
2021-02-22,09,Cataluña,489.680,31.400,68.600,,589.680,490.411,"6,41","83,2",,180.096,"2,35",21/02/2021
2021-02-22,10,C. Valenciana,247.060,15.700,44.500,,307.260,270.007,"5,36","87,9",,98.606,"1,96",21/02/2021
2021-02-22,11,Extremadura,88.415,5.400,9.300,,103.115,92.842,"8,76","90,0",,37.889,"3,58",21/02/2021
2021-02-22,12,Galicia,153.385,9.800,23.800,,186.985,163.143,"6,05","87,2",,57.862,"2,14",21/02/2021
2021-02-22,17,La Rioja,23.465,1.400,2.800,,27.665,24.189,"7,65","87,4",,9.112,"2,88",19/02/2021
2021-02-22,13,Madrid,398.895,25.400,59.800,,484.095,378.839,"5,61","78,3",,168.697,"2,50",21/02/2021
2021-02-22,14,Murcia,103.685,6.600,13.300,,123.585,106.418,"7,05","86,1",,45.646,"3,02",21/02/2021
2021-02-22,15,Navarra,46.365,2.900,5.800,,55.065,47.557,"7,24","86,4",,19.341,"2,94",21/02/2021
2021-02-22,16,País Vasco,127.350,7.900,19.600,,154.850,112.681,"5,15","72,8",,44.558,"2,04",21/02/2021
2021-02-22,18,Ceuta,4.320,400,800,,5.520,5.209,"6,20","94,4",,1.086,"1,29",21/02/2021
2021-02-22,19,Melilla,3.150,400,800,,4.350,4.094,"4,86","94,1",,1.262,"1,50",20/02/2021
2021-02-22,00,España,3.012.165,192.000,418.000,,3.622.165,3.090.351,"6,53","85,3",,1.197.061,"2,53",
2021-02-23,01,Andalucía,568.710,36.300,74.500,,679.510,626.659,"7,39","92,2",,216.617,"2,55",22/02/2021
2021-02-23,02,Aragón,96.255,6.300,11.700,,114.255,111.067,"8,34","97,2",,43.705,"3,28",22/02/2021
2021-02-23,03,Asturias,98.015,6.300,9.000,,113.315,99.545,"9,80","87,8",,37.949,"3,74",22/02/2021
2021-02-23,04,Baleares,49.500,3.200,10.300,,63.000,52.801,"4,35","83,8",,20.560,"1,69",22/02/2021
2021-02-23,05,Canarias,111.120,7.000,19.200,,137.320,122.304,"5,45","89,1",,49.926,"2,22",22/02/2021
2021-02-23,06,Cantabria,47.535,2.900,5.100,,55.535,48.935,"8,40","88,1",,19.854,"3,41",22/02/2021
2021-02-23,07,Castilla y Leon,211.485,13.500,21.100,,246.085,223.034,"9,33","90,6",,86.452,"3,62",22/02/2021
2021-02-23,08,Castilla La Mancha,143.775,9.200,18.000,,170.975,146.212,"7,16","85,5",,63.205,"3,09",22/02/2021
2021-02-23,09,Cataluña,489.680,31.400,68.600,,589.680,504.270,"6,59","85,5",,181.835,"2,38",22/02/2021
2021-02-23,10,C. Valenciana,247.060,15.700,44.500,,307.260,273.978,"5,44","89,2",,99.045,"1,97",22/02/2021
2021-02-23,11,Extremadura,88.415,5.400,9.300,,103.115,94.462,"8,92","91,6",,38.029,"3,59",22/02/2021
2021-02-23,12,Galicia,153.385,9.800,23.800,,186.985,170.544,"6,32","91,2",,58.052,"2,15",22/02/2021
2021-02-23,17,La Rioja,23.465,1.400,2.800,,27.665,24.905,"7,88","90,0",,9.193,"2,91",22/02/2021
2021-02-23,13,Madrid,398.895,25.400,59.800,,484.095,382.180,"5,66","78,9",,169.765,"2,51",22/02/2021
2021-02-23,14,Murcia,103.685,6.600,13.300,,123.585,108.290,"7,18","87,6",,46.777,"3,10",22/02/2021
2021-02-23,15,Navarra,46.365,2.900,5.800,,55.065,51.816,"7,88","94,1",,20.090,"3,06",22/02/2021
2021-02-23,16,País Vasco,127.350,7.900,19.600,,154.850,114.568,"5,23","74,0",,44.902,"2,05",22/02/2021
2021-02-23,18,Ceuta,4.320,400,800,,5.520,5.526,"6,58","100,1",,1.087,"1,29",22/02/2021
2021-02-23,19,Melilla,3.150,400,800,,4.350,4.095,"4,86","94,1",,1.262,"1,50",20/02/2021
2021-02-23,00,España,3.012.165,192.000,418.000,,3.622.165,3.165.191,"6,68","87,4",,1.208.305,"2,55",
2021-02-24,01,Andalucía,662.310,36.300,144.200,,842.810,653.919,"7,71","77,6",,218.967,"2,58",23/02/2021
2021-02-24,02,Aragón,112.635,6.300,22.600,,141.535,115.419,"8,67","81,5",,44.195,"3,32",23/02/2021
2021-02-24,03,Asturias,112.055,6.300,17.400,,135.755,104.014,"10,24","76,6",,38.423,"3,78",23/02/2021
2021-02-24,04,Baleares,56.520,3.200,19.900,,79.620,54.156,"4,46","68,0",,20.576,"1,69",23/02/2021
2021-02-24,05,Canarias,129.840,7.000,37.100,,173.940,127.794,"5,69","73,5",,50.067,"2,23",23/02/2021
2021-02-24,06,Cantabria,55.725,2.900,9.900,,68.525,51.298,"8,81","74,9",,19.963,"3,43",23/02/2021
2021-02-24,07,Castilla y Leon,246.585,13.500,40.800,,300.885,229.483,"9,60","76,3",,87.344,"3,65",23/02/2021
2021-02-24,08,Castilla La Mancha,167.175,9.200,34.800,,211.175,150.359,"7,36","71,2",,64.920,"3,18",23/02/2021
2021-02-24,09,Cataluña,570.410,31.400,132.700,,734.510,531.016,"6,94","72,3",,183.354,"2,40",23/02/2021
2021-02-24,10,C. Valenciana,288.010,15.700,86.200,,389.910,286.962,"5,70","73,6",,100.209,"1,99",23/02/2021
2021-02-24,11,Extremadura,102.455,5.400,18.100,,125.955,98.839,"9,33","78,5",,38.366,"3,62",23/02/2021
2021-02-24,12,Galicia,179.125,9.800,46.100,,235.025,179.141,"6,64","76,2",,58.239,"2,16",23/02/2021
2021-02-24,17,La Rioja,28.145,1.400,5.400,,34.945,25.411,"8,04","72,7",,9.193,"2,91",23/02/2021
2021-02-24,13,Madrid,464.415,25.400,115.600,,605.415,385.692,"5,71","63,7",,170.589,"2,53",23/02/2021
2021-02-24,14,Murcia,121.235,6.600,25.700,,153.535,110.564,"7,33","72,0",,48.528,"3,22",23/02/2021
2021-02-24,15,Navarra,55.725,2.900,11.200,,69.825,53.145,"8,09","76,1",,20.422,"3,11",23/02/2021
2021-02-24,16,País Vasco,148.410,7.900,37.900,,194.210,117.427,"5,36","60,5",,45.475,"2,08",23/02/2021
2021-02-24,18,Ceuta,4.320,400,1.500,,6.220,5.705,"6,79","91,7",,1.087,"1,29",23/02/2021
2021-02-24,19,Melilla,3.150,400,1.500,,5.050,4.334,"5,14","85,8",,1.266,"1,50",23/02/2021
2021-02-24,00,España,3.508.245,192.000,808.600,,4.508.845,3.284.678,"6,94","72,8",,1.221.183,"2,58",
2021-02-25,01,Andalucía,662.310,36.300,144.200,,842.810,688.093,"8,11","81,6",,221.557,"2,61",24/02/2021
2021-02-25,02,Aragón,112.635,6.300,22.600,,141.535,120.420,"9,05","85,1",,44.734,"3,36",24/02/2021
2021-02-25,03,Asturias,112.055,6.300,17.400,,135.755,109.192,"10,75","80,4",,38.716,"3,81",24/02/2021
2021-02-25,04,Baleares,56.520,3.200,19.900,,79.620,55.834,"4,59","70,1",,20.975,"1,73",24/02/2021
2021-02-25,05,Canarias,129.840,7.000,37.100,,173.940,133.624,"5,95","76,8",,51.123,"2,28",24/02/2021
2021-02-25,06,Cantabria,55.725,2.900,9.900,,68.525,53.706,"9,22","78,4",,20.018,"3,44",24/02/2021
2021-02-25,07,Castilla y Leon,246.585,13.500,40.800,,300.885,236.901,"9,91","78,7",,88.071,"3,68",24/02/2021
2021-02-25,08,Castilla La Mancha,167.175,9.200,34.800,,211.175,154.252,"7,55","73,0",,65.766,"3,22",24/02/2021
2021-02-25,09,Cataluña,570.410,31.400,132.700,,734.510,572.114,"7,47","77,9",,184.380,"2,41",24/02/2021
2021-02-25,10,C. Valenciana,288.010,15.700,86.200,,389.910,301.372,"5,98","77,3",,100.793,"2,00",24/02/2021
2021-02-25,11,Extremadura,102.455,5.400,18.100,,125.955,102.762,"9,70","81,6",,38.511,"3,64",24/02/2021
2021-02-25,12,Galicia,179.125,9.800,46.100,,235.025,189.969,"7,04","80,8",,58.354,"2,16",24/02/2021
2021-02-25,17,La Rioja,28.145,1.400,5.400,,34.945,25.917,"8,20","74,2",,9.204,"2,91",24/02/2021
2021-02-25,13,Madrid,464.415,25.400,115.600,,605.415,392.366,"5,81","64,8",,171.359,"2,54",24/02/2021
2021-02-25,14,Murcia,121.235,6.600,25.700,,153.535,113.949,"7,55","74,2",,49.356,"3,27",24/02/2021
2021-02-25,15,Navarra,55.725,2.900,11.200,,69.825,55.427,"8,43","79,4",,20.842,"3,17",24/02/2021
2021-02-25,16,País Vasco,148.410,7.900,37.900,,194.210,119.747,"5,47","61,7",,45.667,"2,09",24/02/2021
2021-02-25,18,Ceuta,4.320,400,1.500,,6.220,5.956,"7,09","95,8",,1.090,"1,30",24/02/2021
2021-02-25,19,Melilla,3.150,400,1.500,,5.050,4.557,"5,41","90,2",,1.266,"1,50",24/02/2021
2021-02-25,00,España,3.508.245,192.000,808.600,,4.508.845,3.436.158,"7,26","76,2",,1.231.782,"2,60",
2021-02-26,01,Andalucía,662.310,36.300,144.200,,842.810,724.385,"8,54","85,9",,225.068,"2,65",25/02/2021
2021-02-26,02,Aragón,112.635,6.300,22.600,,141.535,126.328,"9,49","89,3",,45.931,"3,45",25/02/2021
2021-02-26,03,Asturias,112.055,6.300,17.400,,135.755,109.192,"10,75","80,4",,38.716,"3,81",24/02/2021*
2021-02-26,04,Baleares,56.520,3.200,19.900,,79.620,57.292,"4,71","72,0",,21.124,"1,74",25/02/2021
2021-02-26,05,Canarias,129.840,7.000,37.100,,173.940,138.557,"6,17","79,7",,51.231,"2,28",25/02/2021
2021-02-26,06,Cantabria,55.725,2.900,9.900,,68.525,56.389,"9,68","82,3",,20.346,"3,49",25/02/2021
2021-02-26,07,Castilla y Leon,246.585,13.500,40.800,,300.885,245.671,"10,27","81,6",,88.792,"3,71",25/02/2021
2021-02-26,08,Castilla La Mancha,167.175,9.200,34.800,,211.175,160.235,"7,84","75,9",,66.945,"3,28",25/02/2021
2021-02-26,09,Cataluña,570.410,31.400,132.700,,734.510,614.048,"8,02","83,6",,186.268,"2,43",25/02/2021
2021-02-26,10,C. Valenciana,288.010,15.700,86.200,,389.910,313.175,"6,22","80,3",,101.330,"2,01",25/02/2021
2021-02-26,11,Extremadura,102.455,5.400,18.100,,125.955,107.200,"10,12","85,1",,38.608,"3,64",25/02/2021
2021-02-26,12,Galicia,179.125,9.800,46.100,,235.025,200.432,"7,43","85,3",,58.689,"2,17",25/02/2021
2021-02-26,17,La Rioja,28.145,1.400,5.400,,34.945,26.699,"8,45","76,4",,9.205,"2,91",25/02/2021
2021-02-26,13,Madrid,464.415,25.400,115.600,,605.415,417.627,"6,18","69,0",,171.781,"2,54",25/02/2021
2021-02-26,14,Murcia,121.235,6.600,25.700,,153.535,117.831,"7,81","76,7",,49.915,"3,31",25/02/2021
2021-02-26,15,Navarra,55.725,2.900,11.200,,69.825,57.034,"8,68","81,7",,21.274,"3,24",25/02/2021
2021-02-26,16,País Vasco,148.410,7.900,37.900,,194.210,122.558,"5,60","63,1",,46.157,"2,11",25/02/2021
2021-02-26,18,Ceuta,4.320,400,1.500,,6.220,6.272,"7,47","100,8",,1.136,"1,35",25/02/2021
2021-02-26,19,Melilla,3.150,400,1.500,,5.050,4.710,"5,59","93,3",,1.267,"1,50",25/02/2021
2021-02-26,00,España,3.508.245,192.000,808.600,,4.508.845,3.605.635,"7,61","80,0",,1.243.783,"2,63",
2021-03-01,01,Andalucía,662.310,36.300,144.200,,842.810,769.899,"9,08","91,3",,228.739,"2,70",28/02/2021
2021-03-01,02,Aragón,112.635,6.300,22.600,,141.535,130.122,"9,77","91,9",,46.822,"3,52",27/02/2021
2021-03-01,03,Asturias,112.055,6.300,17.400,,135.755,117.129,"11,53","86,3",,39.215,"3,86",28/02/2021
2021-03-01,04,Baleares,56.520,3.200,19.900,,79.620,61.342,"5,05","77,0",,21.950,"1,81",28/02/2021
2021-03-01,05,Canarias,129.840,7.000,37.100,,173.940,146.120,"6,51","84,0",,51.446,"2,29",28/02/2021
2021-03-01,06,Cantabria,55.725,2.900,9.900,,68.525,59.144,"10,16","86,3",,20.433,"3,51",27/02/2021
2021-03-01,07,Castilla y Leon,246.585,13.500,40.800,,300.885,257.479,"10,77","85,6",,89.946,"3,76",28/02/2021
2021-03-01,08,Castilla La Mancha,167.175,9.200,34.800,,211.175,162.939,"7,97","77,2",,68.732,"3,36",28/02/2021
2021-03-01,09,Cataluña,570.410,31.400,132.700,,734.510,650.327,"8,49","88,5",,188.109,"2,46",28/02/2021
2021-03-01,10,C. Valenciana,288.010,15.700,86.200,,389.910,323.505,"6,42","83,0",,102.016,"2,03",28/02/2021
2021-03-01,11,Extremadura,102.455,5.400,18.100,,125.955,111.006,"10,48","88,1",,39.292,"3,71",26/02/2021
2021-03-01,12,Galicia,179.125,9.800,46.100,,235.025,217.795,"8,07","92,7",,58.891,"2,18",28/02/2021
2021-03-01,17,La Rioja,28.145,1.400,5.400,,34.945,27.386,"8,66","78,4",,9.205,"2,91",26/02/2021
2021-03-01,13,Madrid,464.415,25.400,115.600,,605.415,472.599,"7,00","78,1",,175.205,"2,59",28/02/2021
2021-03-01,14,Murcia,121.235,6.600,25.700,,153.535,123.364,"8,17","80,3",,50.233,"3,33",28/02/2021
2021-03-01,15,Navarra,55.725,2.900,11.200,,69.825,60.697,"9,24","86,9",,21.719,"3,30",28/02/2021
2021-03-01,16,País Vasco,148.410,7.900,37.900,,194.210,127.629,"5,83","65,7",,47.492,"2,17",28/02/2021
2021-03-01,18,Ceuta,4.320,400,1.500,,6.220,6.273,"7,47","100,9",,1.136,"1,35",25/02/2021
2021-03-01,19,Melilla,3.150,400,1.500,,5.050,4.710,"5,59","93,3",,1.267,"1,50",25/02/2021
2021-03-01,00,España,3.508.245,192.000,808.600,,4.508.845,3.829.465,"8,09","84,9",,1.261.848,"2,66",
2021-03-02,01,Andalucía,662.310,36.300,144.200,,842.810,774.701,"9,13","91,9",,228.829,"2,70",01/03/2021
2021-03-02,02,Aragón,112.635,6.300,22.600,,141.535,131.441,"9,87","92,9",,46.898,"3,52",01/03/2021
2021-03-02,03,Asturias,112.055,6.300,17.400,,135.755,118.737,"11,69","87,5",,39.435,"3,88",01/03/2021
2021-03-02,04,Baleares,56.520,3.200,19.900,,79.620,61.659,"5,07","77,4",,22.161,"1,82",01/03/2021
2021-03-02,05,Canarias,129.840,7.000,37.100,,173.940,148.158,"6,60","85,2",,51.479,"2,29",01/03/2021
2021-03-02,06,Cantabria,55.725,2.900,9.900,,68.525,59.968,"10,30","87,5",,20.584,"3,53",01/03/2021
2021-03-02,07,Castilla y Leon,246.585,13.500,40.800,,300.885,263.681,"11,03","87,6",,90.732,"3,79",01/03/2021
2021-03-02,08,Castilla La Mancha,167.175,9.200,34.800,,211.175,164.826,"8,07","78,1",,69.232,"3,39",01/03/2021
2021-03-02,09,Cataluña,570.410,31.400,132.700,,734.510,657.774,"8,59","89,6",,188.818,"2,47",01/03/2021
2021-03-02,10,C. Valenciana,288.010,15.700,86.200,,389.910,323.505,"6,42","83,0",,102.016,"2,03",28/02/2021*
2021-03-02,11,Extremadura,102.455,5.400,18.100,,125.955,112.229,"10,59","89,1",,39.580,"3,74",01/03/2021
2021-03-02,12,Galicia,179.125,9.800,46.100,,235.025,223.906,"8,30","95,3",,58.919,"2,18",01/03/2021
2021-03-02,17,La Rioja,28.145,1.400,5.400,,34.945,28.978,"9,17","82,9",,9.280,"2,94",01/03/2021
2021-03-02,13,Madrid,464.415,25.400,115.600,,605.415,509.698,"7,54","84,2",,175.666,"2,60",01/03/2021
2021-03-02,14,Murcia,121.235,6.600,25.700,,153.535,124.534,"8,25","81,1",,50.556,"3,35",01/03/2021
2021-03-02,15,Navarra,55.725,2.900,11.200,,69.825,62.070,"9,44","88,9",,21.992,"3,35",01/03/2021
2021-03-02,16,País Vasco,148.410,7.900,37.900,,194.210,131.551,"6,01","67,7",,48.052,"2,19",01/03/2021
2021-03-02,18,Ceuta,4.320,400,1.500,,6.220,6.334,"7,54","101,8",,1.195,"1,42",01/03/2021
2021-03-02,19,Melilla,3.150,400,1.500,,5.050,4.984,"5,91","98,7",,1.276,"1,51",01/03/2021
2021-03-02,00,España,3.508.245,192.000,808.600,,4.508.845,3.908.734,"8,25","86,7",,1.266.700,"2,68",
2021-03-03,01,Andalucía,739.530,73.300,208.600,,1.021.430,796.930,"9,39","78,0",,233.434,"2,75",02/03/2021
2021-03-03,02,Aragón,130.185,12.600,32.700,,175.485,134.040,"10,07","76,4",,47.125,"3,54",02/03/2021
2021-03-03,03,Asturias,128.435,12.700,25.200,,166.335,121.707,"11,99","73,2",,41.196,"4,06",02/03/2021
2021-03-03,04,Baleares,65.880,6.500,28.800,,101.180,62.033,"5,10","61,3",,22.426,"1,85",02/03/2021
