NOMBRE,REFERENCIA,DIRECCION,PROVINCIA,CIUDAD,LATITUD,LONGITUD,COMENTARIO,HORARIO,TELEFONO
GARAJE MARTINEZ 2010 S.L,228,PGNO. INDUSTRIAL LA MOREA SUR NAVE 36,Navarra,Beriáin,"42,7299851","-1,6345151",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 09:00-13H00,948310543
SERVIDAF 2001 SL,229,CIUDAD DEL TRANSPORTE - AVENIDA DEL ESTE Nº 13 - IMARCOAIN,Navarra,Noáin (valle de Elorz)/noain (elortzibar),"42,72955","-1,6076039",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 08:00-16H00,948310905
"IRURA MOTOR, S.L.",230,CTRA. NACIONAL 1 KM. 444 PGNO. LASKIBAR Nº 6,Gipuzkoa,Irura,"43,1733159","-2,0599398",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 08:00-13H00,943691706
FRENOS AJONA S.L.,231,"CTRA. ZARAGOZA KM. 9,5 PGNO. MOREA SUR",Navarra,Beriáin,"42,7317326","-1,6329469",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 07:30-13H00,948312352
"GAZPI, S.A.",232,C/ BERROA 1 - PARQUE EMPRESARIAL LA ESTRELLA,Navarra,Valle de Egüés/eguesibar,"42,7743258","-1,628294",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 08:00-15H00,948852006
"MECANICAS ARRONDO, S.L.",233,"AUTOVIA A68 KM. 104,5",Navarra,Ribaforada,"41,9952315","-1,5493495",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 08:00-16H00,948819434
"COMERCIAL CONAUTO, S.A.",234,PGNO. INDUSTRIAL IMARCOAIN S/N - IMARCOAIN,Navarra,Noáin (valle de Elorz)/noain (elortzibar),"42,7401413","-1,629664",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 08:00-20H00,948317111
TALLLERES SCASERVICIOS SL,235,"AVENIDA ARAGON, 14",La Rioja,Logroño,"42,4606096","-2,4026492",Taller de VI abierto para casos de urgencia Movil contacto: 650 39 57 56,L-V: 08:00-14H00,941433679
"OLAONDO, S.A.",236,ZUMADIKO INDUSTRIALDEA 1,Gipuzkoa,Beasain,"43,0447097","-2,201494",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 08:00-19H00,943161354
EUROCAM SOC. COOPERATIVA,237,"POLIGONO AGUSTINOS C/ A, PARCELA B3",Navarra,Pamplona/iruña,"42,8293854","-1,6860984",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 07:00 a 22:00 S: 07:00 a 13:00,948302422
EUROCAM LAS LABRADAS,238,POLIGONO LAS LABRADAS MANZANA 12,Navarra,Tudela,"42,0687413","-1,6372773",24 HORAS URGENCIAS: 0080017777777,L-V: 07:00 a 22:00 S: 08:00 a 13:00,948402965
EUROCAM VEHICULOS INDUSTRIALES VITORIA,239,PLG. SUBILLABIDE C/ TRATADO DE PARIS Nº 6 PARCELA 40,Araba_Álava,Iruña Oka/iruña de Oca,"42,8238552","-2,7741894",24 HORAS - 661 750 798 / 665 27 80 34,L-V: 07:00 a 22:00 S: 08:00 a 13:00,945365666
EUROCAM LA PORTALADA,240,PLG. LA PORTALADA C/ CIRCUNDE 22-24,La Rioja,Logroño,"42,4575194","-2,3947614",ZONA DESCANSO CHOFERES,L-V: 07:00 a 22:00 S: 08:00 a 13:00,941237572
EUROCAM VEHICULOS INDUSTRIALES BURGOS,241,ANTIGUA CARRETA N1 KM 247 VILLAFRIA,Burgos,Burgos,"42,369887","-3,60607",ZONA DESCANSO CHOFERES,L-V: 07:00 a 22:00 S: 08:00 a 13:00,947106980
"TALLERES LODOSA, S.L.",242,AVENIDA DE NAVARRA Nº151,Navarra,Lodosa,"42,425828","-2,0878512",ZONA DESCANSO CHOFERES,L-V: 8:00-13H00/15:00-19H00,948693176
GARAJE MODERNO PABLO IRIZAR SL,243,AVDA. DEL ESTE - CIUDAD DEL TRANSPORTE,Navarra,Noáin (valle de Elorz)/noain (elortzibar),"42,730727","-1,608121",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 8:30-13H00/15:00-18H15,948312000
AUTODIESEL IRURZUN SL,244,POL. AKABORRO C/B - 1 ,Navarra,Irurtzun,"42,9214639","-1,8309481",Movil contacto: 626997520,L-V: 08:30-20H00,948500002
TALLERES COBOS AUTOMOCION SL,245,"CTRA. ZARAGOZA, KM 2,5",Navarra,Galar,"42,793749","-1,6406557",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 08:00-15H00,948290891
TALLERES ERKUDEN,246,"CTRA. NACIONAL I, KM. 398",Navarra,Altsasu/alsasua,"42,91618","-2,1867652",ASISTENCIA EN CARRETERA: 24 HORAS: 0031402143000,24 HORAS,948467419
"TALLERES BIDASOA, S.A.",247,"POL. INDUSTRIAL ZALAIN, 6   ",Navarra,Bera,"43,2779872","-1,6967779",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 08:30-19H00,948630011
FIDAUTO S.L.,248,"Ctra. de Vigo, nº 2, Cabanas-Salcedo",Pontevedra,Pontevedra,"42,4142222","-8,6388528",Taller de Vehículo Industrial abierto para casos de urgencia ,9H00-13H00,986856472
TALLERES NOY S.C.G.,249,Carretera Ribadetea - Nave 1,Pontevedra,Ponteareas,"42,1803409","-8,5139547",Taller de Vehículo Industrial abierto para casos de urgencia ,8H00-13H30|15H30-19H30,654424722
OLIVICA SPORT S.L.,250,"C/. Ceboleira, nº 43",Pontevedra,Vigo,"42,2251305","-8,7036457",Taller de Vehículo Industrial abierto para casos de urgencia ,8H00-14H00,986277420
HIDRAMAQ DEZA S.L.,251," 
Pol. Ind. Lalín 2000-Parcela 15-3",Pontevedra,Lalín,"42,6772345","-8,1488515",Taller de Vehículo Industrial abierto para casos de urgencia ,8H30-13H00|15H00-19H30,986794232
INTURASA-PEREZ RUMBAO S.A.- Mourente,252,Avda. de Lugo nº 18 - Casas Novas,Pontevedra,Pontevedra,"42,4392435","-8,6185765",Taller de Vehículo Industrial abierto para casos de urgencia ,9H00-13H30|15H00-18H30,986854429
AUTOMOCION LA JUNQUERA S.L.,253,Avda. Pontevedra nº 82,Pontevedra,Vilagarcía de Arousa,"42,5895724","-8,7512335",Taller de Vehículo Industrial abierto para casos de urgencia ,8H00-16H00,986502126
TALLERES ROVI S.L.,254,"Carretera Camposancos, nº 22",Pontevedra,Vigo,"42,2037721","-8,7531965",Taller de Vehículo Industrial abierto para casos de urgencia ,9H00-13H30|15H30-19H00,986291701
AUTOINAVE DIESEL S.L.,255," 
Alcalde Lavadores 122-Posterior",Pontevedra,Vigo,"42,2168075","-8,6968213",Taller de Vehículo Industrial abierto para casos de urgencia ,9H00-13H30|15H30-19H00,986275765
TALLERES TRONCOSO S.L.,256,"Rans - Tameiga, nº 50",Pontevedra,Mos,"42,1953285","-8,6502275",Taller de Vehículo Industrial abierto para casos de urgencia,8H30-13H30|15H30-19H00,986331161
"
TAMECASA-Talleres M. La Cañiza S.A.",257,Carrt. Vigo-Madrid Km. 603 - Leboriz,Pontevedra,A Cañiza,"42,2226595","-8,2826175",Taller de Vehículo Industrial abierto para casos de urgencia,9H00-13H00|15H00-19H00,986651074
"
MABESOA S.L.",258," 
Lg. de Cerquido, nº 56",Pontevedra,Salceda de Caselas,"42,0904405","-8,6263625",Taller de Vehículo Industrial abierto para casos de urgencia,9H00-13H30|15H30-19H00,986346545
CARROCERIAS DAFER S.A.,259,Chan da Gandara 18 - Padrones,Pontevedra,Ponteareas,"42,2202795","-8,5194645",Taller de Vehículo Industrial abierto para casos de urgencia,6H45-15H00,986661010
"
TALLERES Y CARROCERIAS MAX FRIO S.L.L.",260,Ctra. Porriño-Redondela nº 73,Pontevedra,Mos,"42,1757035","-8,6173725",Taller de Vehículo Industrial abierto para casos de urgencia. SÓLO REPARACIÓN DE EQUIPOS DE FRÍO DE TRANSPORTE.,9H00-13H00|15H30-19H30,986344277
ROCAL-TRUCK S.L.,261,Carrt. Nacional 120 - Areas,Pontevedra,Ponteareas,"42,1786659","-8,5252655",Taller de Vehículo Industrial abierto para casos de urgencia,9H00-13H00|15H00-19H00,986660836
"
T. R. ROGET S.L.",262," 
Peroxa - Moreira, s/nº",Pontevedra,Ponteareas,"42,1546116","-8,5012782",Taller de Vehículo Industrial abierto para casos de urgencia. TACÓGRAFO MULTIMARCA; TALLER OFICIAL IRIZAR HISPACOLD,9H00-13H00|13H30-19H30,986655900
FRICECAR S.L.,263," 
Carrt. de Mondariz-Reiro - Las Cachadas",Pontevedra,Ponteareas,"42,1810225","-8,5111937",Taller de Vehículo Industrial abierto para casos de urgencia,L-V: 9H00-13H00|15H30-20H00|S: 9H00-13H00,986641741
A.R. PICHEL S.A.,264,"Poligono Ind. Las Gandaras,s/nº",Pontevedra,O Porriño,"42,1348515","-8,6283215","Taller de Vehículo Industrial abierto para casos de urgencia. MECÁNICA, HIDRÁULICA, ELECTRICIDAD Y CARROCERÍA",8H15-13H00|15H00-18H30,986330700
T. R. ELIMARKE S.L.,265,Pol. Ind. As Gándaras-Parcela 1 (Atios),Pontevedra,O Porriño,"42,1364385","-8,6223691",Taller de Vehículo Industrial abierto para casos de urgencia,8H00-16H00,986343905
"
VIP GALICIA S.A.",266,Políg. Industr. A Granxa Parcela 167-184,Pontevedra,O Porriño,"42,1157556","-8,6190591",Taller de Vehículo Industrial abierto para casos de urgencia. TALLER OFICIAL MERCEDES-BENZ,8H00-16H00,986342527
Ballestas Flores,267,"Ctra. CI-507, Km. 0,700",Salamanca,Salamanca,"40,9602657","-5,7250786",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 08:30-20:30 / S: 08:30-13:00,923224347
Rayca Truck,268,C/ Alemania 32-34,Salamanca,Villares de la Reina,"40,9969177","-5,6402266",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 08:30-19:30 / S: 09:00-12:00,923204143
Iveco Tadama 14,269,Ctra. Valladolid 159,Salamanca,Villares de la Reina,"40,996163","-5,6364934",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 08:00-19:00 / S: 08:00-12:30,923244316
Autodiesel Salamanca,270,C/ Newton 19,Salamanca,Carbajosa de la Sagrada,"40,9433339","-5,6563557",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 09:00-19:00,923190308
"TALLERES Y GRÚAS VILLA AUTO, S.L.",271,"CTRA. LA CORUÑA, KM, 86",Segovia,Villacastín,"40,7901401","-4,4391106",Taller de Vehículo Industrial abierto para casos de urgencia ,SERVICIO 24 HORAS,639340714
"TALLERES TABLADA, C.B.",272,"GREMIO DE LOS METALÚRGICOS, 56 - POLG. IND. HONTORIA",Segovia,Segovia,"40,9062475","-4,1113257",Taller de Vehículo Industrial abierto para casos de urgencia ,LUNES A VIERNES 7 A 15 H,921443949
"DIESEL 2000, S.L.",273,"GREMIO DE LOS CALDEREREOS, 3 - POLG. IND. HONTORIA",Segovia,Segovia,"40,9115089","-4,1103668",Taller de Vehículo Industrial abierto para casos de urgencia ,"LUNES A VIERNES DE 9 A 13,30 Y DE 15,30 A 19 H",921421010
"TALLERES SANTA CLARA, S.L.",274,"CTRA. CL 601, KM 52",Segovia,Cuéllar,"41,387976","-4,3044895",Taller de Vehículo Industrial abierto para casos de urgencia ,"LUNES A VIERNES DE 9 A 13,30 DE 15,30 A 20 H",655920281
"NEUMÁTICOS GOYO, S.L.",275,"AVDA. DE HONTORIA, 15",Segovia,Segovia,"40,9074688","-4,1099918",Taller de Vehículo Industrial abierto para casos de urgencia ,"SERVICIO 24 HORAS - DE LUNES A VIERNES DE 9 A 13,30 Y DE 15,30 A 19 HORAS SÁBADOS DE 9 A 12,30",620729745
"SERVICIO LA UNIÓN SEGOVIA, S.L.",276,"C/FRESNO, 88 - SECTOR C",Segovia,Valverde del Majano,"40,9567276","-4,227666",Taller de Vehículo Industrial abierto para casos de urgencia ,LUNES A SÁBADO DE 9 A 14 HORAS -SERVICIO URGENCIAS 24 HORAS,647752423
TALLERES SEBAS,277,"AVENIDA VALLADOLID, 83",Soria,Soria,"41,7689693","-2,4913061","Plantilla reducida, llamar para cita previa ",09:00 A 13:00 y de 15:15 a 19:00,975233670 y 975233671
"TALLERES RAFA, SL",278,"AVENIDA ADOLFO SUAREZ, 62",Cuenca,Tarancón,"40,0539487","-2,1352135",L-V 9H13H30 Y DE 16H A 19H30,L-V 9H13H30 Y DE 16H A 19H30,969321690
"GRAJA NEUMATICOS, S.L.",279,"Carretera Madrid-Valencia,km.220",Cuenca,Graja de Iniesta,"39,5169658","-1,6672718",De lunes a viernes de 08:30 a 19:30 ( Horario ininterrumpido ) MOVIL 619020964,L-V 8H30 A 19H30,962187311
NEUMATICOS HAROCAR S.L,280,P .I SAN JOSE C/A Nº 3,Cuenca,San Clemente,"40,0539487","-2,1352135",  HORARIO  8 a 13h  Y 16 a 19 MOVIL 677531712,L-V 8H A 13H Y 16H A 19H,969301269
"AUTOPRIMA, S.A",281,"POL. IND. CAMPOLLANO, CALLE B, 53",Albacete,Albacete,"40,0539487","-2,1352135",9:00-13:00  y  15:00-18:00  de lunes a viernes,L-V 9H A 13 H Y 15H A 18H,967520441
"AUTOPRIMA, S.A",282,"Carretera de Madrid, 35",Cuenca,Motilla del Palancar,"40,0539487","-2,1352135",Lunes a Viernes de 9:00 a 13:00  mañanas 15:00 a 18:00 Tardes   Resto jornada Servicio 24 horas : teléfono 913753061,L-V 9H A 13H Y 15H A 18H,969332260
TALLERES ESTESO S.L.,283,CARRETERA N-310 KM 157,Cuenca,San Clemente,"40,0539487","-2,1352135",LUNES-VIERNES: 09:00 – 14:00 / 15:00 – 18:00 // SÁBADOS: 09:00-13:00,L-V 9H A 14H Y 15H A 18H S 9H A 13H,969300225 
"SIDECO, S.A.",284,"Avda. Tarragona, 34-44",Tarragona,Reus,"41,1447237","1,1241626",Taller de Vehículo Industrial abierto para casos de urgencia ,"""L-V: 8H00-13H00 | 15H00-18H00""",977326503
"REUS FLEMING, SA",285,"Autovia reus tarragona km 2,5",Tarragona,Reus,"41,146927","1,1289733",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V 08:13 15-18,977775232
"PUEYO SERVIAUTO, SA",286,CTRA. N-340 KM 1.078,Tarragona,Amposta,"40,6746797","0,5828462",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 8H-17:30H S:8H-13H,977702217
"NEUMATICOS SEVIL, SA",287,CTRA. N-340 KM 1.189,Tarragona,El Vendrell,"41,204423","1,5284001",Taller de Vehículo Industrial especialista en NEUMÁTICOS abierto para casos de urgencia ,L-V 9H00-13H00 y 15H00-17H30,977661516
"NEUMATICOS SEVIL, SA",288,POL. IND. FRANCOLÍ  PARCELA 26,Tarragona,Tarragona,"41,1133745","1,227911",Taller de Vehículo Industrial especialista en NEUMÁTICOS abierto para casos de urgencia ,L-V 8H30-13H30 y 15H00-18H00,977549626
"MORENO MOTORS XCD, SL",289,"CTRA. DEL PLA, 174 -POLÍGON INDUSTRIAL",Tarragona,Valls,"41,304005","1,2600573",Taller de Vehículo Industrial abierto para casos de urgencia ,08:30-13:00  15:30-19:00,977604995
"MERKAMOTOR TORTOSA, SA",290,CTRA. C42 KM 10,Tarragona,Tortosa,"40,785456","0,522361",Taller de Vehículo Industrial abierto para casos de urgencia ,"""L-V:9H:00-17H00""",977446797
"JOAQUIN OLIVA, SA",291,"C/Josep Maria Folch i Torres, 2 (Les gavarres) 43006",Tarragona,Tarragona,"41,130161","1,1973281",Taller de Vehículo Industrial abierto para casos de urgencia ,08:00 a 16:30 de Lunes a Viernes,689137955
"TARRAUTO MOTOR, SL",292,"C/Josep Maria Folch i Torres, 2 (Les gavarres) 43006",Tarragona,Tarragona,"41,1299957","1,1977056",Taller de Vehículo Industrial abierto para casos de urgencia ,08:00 a 16:30 de Lunes a Viernes,689137955
"GARCID, SL",293,CTRA. NAL 340 KM 1.078,Tarragona,Amposta,"40,6752216","0,5809876",Taller de Vehículo Industrial abierto para casos de urgencia ,8 A20,977701669
"ESTORAUTO, SL",294,"POL.IND. ORIOLA, PARCELA D-2",Tarragona,Amposta,"40,7446638","0,6188528",Taller de Vehículo Industrial abierto para casos de urgencia ,24 H,977702.700
"ESTORAUTO, SL",295,POL. IND. FRANCOLÍ  PARCELA 28 NAVE 3,Tarragona,Tarragona,"40,744664","0,6188158",Taller de Vehículo Industrial abierto para casos de urgencia ,LUNES A VIERNES 8.30 A 13.30 -15.00 A 18.30,877013945
"CORNEJO CAÑETE, ANTONIO",296,C/DEL PLOM Nº 1 NAVE 7 POL. IND. RIU-CLAR 43006,Tarragona,Tarragona,"40,579995","-1,337938",Taller de Vehículo Industrial abierto para casos de urgencia ,8:30 a 13 y 15 a 19,657817153
"CISVAN TGN CARROCERIAS, SLU",297,"POL.IND. RIU CALR, C/SOFRE, PASAJE SILICI, NAVE 5",Tarragona,Tarragona,"41,1366086","1,216592",Taller de Vehículo Industrial abierto para casos de urgencia ,07:00 a 15:00 (lunes a viernes),680421700
"TALLERS MARTI TRUCK, SL",298,"AV. EUROPA, PARC. 1  N. 2-3",Tarragona,Constantí,"41,1632479","1,1556133",Taller de Vehículo Industrial abierto para casos de urgencia  de chapa y pintura,de 9 a 13 y de 15 a 19,656845975
"FERNANDO AGON, SL",299,"CARRER DEL COURE, 31",Tarragona,Tarragona,"41,1385576","1,2157462",Taller de Vehículo Industrial abierto para casos de urgencia ,"""L-V: 8H-18H""",977553225
"AGON TRUCK CENTER ZARAGOZA, SL",300,C/SANTO DOMINGO Nº2 (POL. IND. CENTROVIA),Zaragoza,Zaragoza,"41,6154297","-1,0651695",Taller de Vehículo Industrial abierto para casos de urgencia ,"""L-V: 8H-18H""",976144678
"AUTOMOCION ROMERO-NIEVA SANCHEZ, S.L.",301,"Ctra. Madrid-Cádiz, km. 116,500",Toledo,Madridejos,"39,4897078","-3,5314616","Taller de Vehículo Industrial, Servicio Oficial IVECO, CTTD, Reparación Plataformas abierto para casos de urgencia",8:00-14:00 / 16:00-19:00,925460775
NEUMATICOS MORON VARO,302,C/ Real 169,Toledo,Yuncos,"39,8179542","-4,0593355",Taller de Vehículo Industrial abierto para casos de urgencia ,Lunes a Viernes 9:00 a 18:30,925537188
"ARRIERO YEPES,S.L.",303,"CM.4010 KM,6",Toledo,Yeles,"40,1146702","-3,7739969",Taller de Vehículo Industrial abierto para casos de urgencia ,09:00  -  14:00,638455908
TALLERES GARRIDO DE TOLEDO (IVECO),304,"Polig. Ind. Santa María de Benquerencia, C/Río Estenilla nº1, CP:45007, Toledo, España",Toledo,Toledo,"39,8179542","-4,0593355",Taller de Vehículo Industrial especializado en la marca IVECO,DE 8:00 A 20:00,925 23 01 74
TALLERES GARRIDO DE CAZALEGAS (IVECO),305,"Autovía A-5, salida 106, Polígono El Soto de Cazalegas, Parcela 9, CP:45683, Cazalegas (Toledo), España",Toledo,Cazalegas,"39,986323","-4,7319587",Taller de Vehículo Industrial especializado en la marca IVECO,DE 8:00 A 20:00,925 96 03 63
TALLER A-42,306,"Ctra.Madrid-Toledo, km.63,300 nave 100",Toledo,Olías del Rey,"39,9133286","-4,0112464",Taller de Vehículo Industrial abierto para casos de urgencia,9:00-14:00/16:00-20:00,925894598699099810
TALLERES ZAMORANO S.L.,307,"Ctra. N-IV, Km-56,500",Toledo,Ocaña,"39,8179542","-4,0593355",Taller de Vehículo Industrial abierto para casos de urgencia,9:00-14:00/16:00-19:00,925130380
"COMEQUIN, S.C.DE CLM",308,"CTRA. QUINTANAR A VILLACAÑAS, S/N,      CM 410, KM 117,500",Toledo,Quintanar de la Orden,"39,8179542","-4,0593355",Taller de Vehículo Industrial abierto para casos de urgencia,8:00-13:30/15:30-19:30,925180483/680411770
"TALLER TOMAS GARRIDO, S.L.",309,Carretera Madrid / Toledo km 64.,Toledo,Toledo,"39,8179542","-4,0593355",Taller de Vehículo Industrial abierto para casos de urgencia,8:00-14:00/16:00-20:00,925251977
ELECTRO SAGASA SL,310,RIBERA ALTA 5 PI EL CANARI,Valencia_València,L' Alcúdia de Crespins,"38,9665765","-0,6188523",Taller de Vehículo Industrial abierto para casos de urgencia ,8:30 a 13h y de 15:30 a 19h L-V,962241745 ext 1
TALLERES MAESO SL,311,CAMI REIAL 19,Valencia_València,Torrent,"39,4365933","-0,4749696",Taller de Vehículo Industrial abierto para casos de urgencia ,8.30 a 14   y  de 16 a 19  L-V,"96 155 13 79,  telf. Emergencia 606 39 39 80"
TALLERES JOYFER SL,312,CARRETERA ONTINYENT S/N,Valencia_València,Ontinyent,"38,854054","-0,5882507",Taller de Vehículo Industrial abierto para casos de urgencia ,8.30 a 14   y  de 16 a 19  L-V,96238 2000
TALLERES ANCOS SL,313,"CALLE PATERNA, 3 PI LA PILA",Valencia_València,Benaguasil,"39,6018395","-0,5843477",Taller de Vehículo Industrial abierto para casos de urgencia ,de 8:00 a 14:00  L-V,963910079
"HERNANDEZ ALEPUZ, DAVID",314,CALLE MILAN 21,Valencia_València,La Pobla de Vallbona,"39,5881574","-0,5337314",Taller de Vehículo Industrial abierto para casos de urgencia ,de 8:00 a 14:00  L-V,"962438147

962438147 650777629"
TALLERES OLTRASOL SL,315,CALLE DELS JORNALERS 34 PI LA MARQUESA,Valencia_València,Alberic,"39,12316","-0,5370957",Taller de Vehículo Industrial abierto para casos de urgencia ,de 9:00 a 13:00  L-V,962440755 / 627946297
CARROCERÍAS POLO SL,316,"CARRETERA BARCELONA KM 12,5",Valencia_València,La Pobla de Vallbona,"39,5840696","-0,3257415",Taller de Vehículo Industrial abierto para casos de urgencia , 8-14:00  --  15:30-18:00 L-V,96 144 41 11   616 42 41 27  RAFA
REPARACION CARROCERIAS LLUCH SL,317,PI BOBALAR CALLE 3 nave 20 ,Valencia_València,Massamagrell,"39,585247","-0,3523937",Taller de Vehículo Industrial abierto para casos de urgencia ,8:30-14:00 L-V,961450228  617434033
SERCARMOTOR SL,318,CALLE LA SENYERA 60,Valencia_València,Alaquàs,"39,4542774","-0,4730022",Taller de Vehículo Industrial abierto para casos de urgencia , 8-14:00  --  15:30-18:00 L-V,961514710  680822237
TALLERES ALBEROTECNIC SL,319,CALLE TOTANA 14,Valencia_València,València,"39,4689964","-0,3975545",Taller de Vehículo Industrial abierto para casos de urgencia , 8-14:00  --  16:00-18:00 L-V,963.84.24.82 – 619.700.771
AUTODIESEL VALENCIA 2005 SL,320,CALLE LA SENYERA 76,Valencia_València,Alaquàs,"39,4541257","-0,4742913",Taller de Vehículo Industrial abierto para casos de urgencia ,07:30-14:00 L-V,961511609
CARROCERIAS FRIMAVAL SL,321,"CALLE ROLL DE COLOMER, 31 ",Valencia_València,Rafelbunyol,"39,5856003","-0,3291634",Taller de Vehículo Industrial abierto para casos de urgencia ,8:30-14:00 L-V,628786114  961412817
CARROCERIAS FRIMAVAL SL,322,"CALLE GREMI BONETERS, 27",Illes Balears,Palma ,"39,6040897","2,6674484",Taller de Vehículo Industrial abierto para casos de urgencia ,8:30-14:00 L-V,971229887
TALLERES INTERPATTY SL,323,CALLE OLLER 6,Valencia_València,Paterna,"39,5158882","-0,458254",Taller de Vehículo Industrial abierto para casos de urgencia ,8.00 a 14   y  de 15:30 a 19  L-V,9614343223607345678
JOAQUIN CRESPO SL,324,"CALLE CERVANTES, 42",Valencia_València,Gandia,"38,9698857","-0,1775715",Taller de Vehículo Industrial abierto para casos de urgencia ,8:00-15:00 L-V,962871812
AUTOREPARACION GANDIA SL,325,AVDA DE LA VITAL 33,Valencia_València,Gandia,"38,9678116","-0,1737365",Taller de Vehículo Industrial abierto para casos de urgencia ,8:30 a 13h y de 15:30 a 19h L-V,962874266669367641
MINGUEZ SA,326,AVDA AUSIAS MARCH 124,Valencia_València,València,"39,4443137","-0,3723763",Taller de Vehículo Industrial abierto para casos de urgencia ,8:30 a 13h y de 15:30 a 19h L-V,963342800
AUTOBALMI SL,327,"CALLE DOS, PARCELA 8-10 PI",Valencia_València,Massamagrell,"39,588356","-0,3560947",Taller de Vehículo Industrial abierto para casos de urgencia ,8:30 a 13:45h y de 15:00 a 17:30 L-V,961440452
TAKUMISAN S.L.      ,328,AVDA PICASSENT 19,Valencia_València,Silla,"39,3635932","-0,4212111",Taller de Vehículo Industrial abierto para casos de urgencia , 8-14:00  --  15:30-18:00 L-V,961115356
ELEMA SL,329,"CALLE SEIS, 8 PI",Valencia_València,Picassent,"39,3553934","-0,4546062",Taller de Vehículo Industrial abierto para casos de urgencia ,7:00-15 L-V,961505529
AUTOTALLERES SEBERCO SL,330,AVDA MEDITERRANI 27,Valencia_València,Massamagrell,"39,5734902","-0,3289143",Taller de Vehículo Industrial abierto para casos de urgencia , 8-14:00  --  15:30-18:00 L-V,961444024  649767497
GnG Derio,331,Polígono Ugaldeguren s/n,Bizkaia,Derio,"43,2892217","-2,8921727",Taller de Vehículo Industrial abierto para casos de urgencia ,9:00-13:00 15:00-19:00,607692684
GnG Elorrio,332,"San Agustin, 1",Bizkaia,Elorrio,"43,1294952","-2,5663745",Taller de Vehículo Industrial abierto para casos de urgencia ,9:00-13:00 15:00-19:00,690635065
GnG Santurtzi,333,"Polígono El Árbol, Av. Antonio Alzaga 142",Bizkaia,Santurtzi,"43,3202656","-3,0504488",Taller de Vehículo Industrial abierto para casos de urgencia ,9:00-13:00 15:00-19:00,672680594
"TALLERES JUAN GOMEZ MORAGA, S.L.",334,"Ctra. de Mahora, Km. 2 ",Albacete,Albacete,"39,017556","-1,8590497",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 8H30-13H30 | 16H-19H00,967193182
"TALLERES CARRETERA DE JAÉN, S.L.",335,"Ctra. de Jaén, 174",Albacete,Albacete,"38,9867353","-1,8886786",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 8H30-14H00 | 15H30-20H00 |  S: 8H30-13H00,967220090
TALLERES HERMANOS PINA,336,"Pol. Ind. Campollan,  Calle D, Parcela 8, nº 27",Albacete,Albacete,"39,01355","-1,885325",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 8H00 -13H00 | 16H00- 20H00,967036411
"TALLERES JUAN  Y ENRIQUE SÁNCHEZ GARCÍA, S.L.",337,"Ctra. de Madrid, km. 240",Albacete,Albacete,"39,028298","-1,8965147",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V:  8H30-14H00  | 15H30-20H00,967521979
"TALLERES REYFE, S.C.L.",338,"Pol. Ind. Campollano. Avda. 4ª, nº 13",Albacete,Albacete,"39,017444","-1,8943647",Taller de Vehículo Industrial abierto para casos de urgencia ,8H30-13H00 | 16H00-17H00,967215773
"TALLERES V. MARTINEZ, S.L.",339,"Pol. Ind. el Mugrón, C/ Ronda Sur nº 10",Albacete,Almansa,"38,869431","-1,1172425",Taller de Vehículo Industrial abierto para casos de urgencia ,7H00-14H00 ,647110904
"COMPONENTES CARROCEROS CAUDETE, S.L.",340,"Avda. de Valencia, nº 3",Albacete,Caudete,"38,7090451","-0,9815651",Taller de Vehículo Industrial abierto para casos de urgencia ,8H00-13H00 y 16H00-18H00,965826775
"TALLERES VOL-CAR, S.L.",341,"Pol. Camporroso, C/ Guadalajara, nº 13 Nave A 4",Albacete,Chinchilla de Monte-aragón,"38,9390735","-1,755938",Taller de Vehículo Industrial abierto para casos de urgencia ,9H15-13H15 y 16H00-19H00,669247890
"AUTO ELECTROMECANICA CEBRIAN, S.L.",342,"Avda. San Miguel, 11 Bajo.",Albacete,Chinchilla de Monte-aragón,"38,9172797","-1,7260442",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 9H00-14H00 | 16H00-20:00 |S: -9H00-14H00,967261273
